userId,age,counts_pictures,counts_profileVisits,counts_kisses,flirtInterests_chat,flirtInterests_friends,flirtInterests_date,isVIP,isVerified,lastOnlineTs,lang_count,lang_fr,lang_de,countDetails,flirtstar,hasBirthday,distance,mobile,online,connectedToFacebook,locked,genderLooking,counts_fans,counts_g,isInfluencer,shareProfileEnabled,isfreshman,crypt,isSystemProfile,ISpicture,ISinsta2,ISemoji2,IS_lang_pt_es_en_it,nameN,cityN,locationCityN,locationCitySubN,countryN
4e3842f79b70e7ea57000064,25,4,8279,239,1,1,1,0,0,1429994606.0,1,0,1,1.0,0,0,175.0,1,0,0.0,0.0,M,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,Other,Other,Other,nan,CH
4e3d34bf5d2bce7b160006a3,22,5,663,13,1,1,1,0,0,1430039975.0,3,1,1,0.85,0,0,138.0,1,0,0.0,0.0,M,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,1,Other,Other,Other,nan,CH
4eef8b81ebf2c8f64000000c,20,3,22187,1015,1,1,0,0,0,1428405661.0,2,1,0,0.12,0,0,77.3,0,0,0.0,0.0,none,2.0,3.0,0.0,1.0,0.0,0.0,0.0,1,1,0,1,Other,Other,Berne,nan,Other
4ef9434cca61bece6a000002,24,18,7339,180,1,0,1,0,0,1428503871.0,2,0,1,0.81,0,0,194.0,1,1,0.0,0.0,M,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1,0,0,1,Other,Other,Other,nan,DE
4f10cbc1883fa97a5f000015,24,13,18672,492,0,1,0,0,0,1430162998.0,5,0,1,0.65,0,0,318.0,1,1,0.0,0.0,none,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,1,0,1,Anna,Stuttgart,Stuttgart,nan,DE
4f317525883fa9636900000e,23,6,19091,1348,1,0,1,0,0,1428502691.0,2,0,1,0.81,0,0,175.0,1,0,0.0,0.0,M,0.0,20.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,Other,Other,Bad,nan,DE
4f3516420c84d3dd23000001,20,14,29984,2389,1,1,1,0,0,1428436915.0,3,1,1,0.88,0,0,81.4,1,0,0.0,0.0,M,10.0,11.0,0.0,1.0,0.0,0.0,0.0,1,0,0,1,Other,Other,Other,nan,CH
4fa0fb54883fa90e0d0005d6,24,1,5979,147,1,1,1,0,0,1428336649.0,2,0,1,0.81,0,0,315.0,0,1,0.0,0.0,M,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1,0,1,1,Other,Stuttgart,Stuttgart,nan,DE
4fb4198f883fa90e04000031,22,3,10450,421,1,1,0,0,0,1430047421.0,1,0,1,0.54,0,0,148.0,1,1,0.0,0.0,M,2.0,4.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,Other,Other,Bad,nan,FR
4fc51294ca61be3762000155,20,5,2612,117,1,1,0,0,0,1428503665.0,1,0,1,0.92,0,0,136.0,1,1,0.0,0.0,both,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,Other,Basel,Other,nan,CH
4ff9f4aaebf2c827480007d9,20,12,32450,787,1,1,1,0,1,1430042670.0,1,0,1,0.85,0,0,171.0,1,0,0.0,0.0,M,10.0,3.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,Other,ZÃ¼rich,ZÃ¼rich,nan,CH
500aef142d15de056f000480,22,4,1710,116,0,0,1,0,0,1428504595.0,1,0,1,0.96,0,0,190.0,1,0,0.0,0.0,M,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,Other,Emmendingen,Other,nan,DE
500ce1722d15de810c0004af,25,13,26842,643,0,1,1,0,0,1430068757.0,1,0,1,0.58,0,0,163.0,1,0,0.0,0.0,M,1.0,4.0,0.0,1.0,0.0,0.0,0.0,1,0,1,0,Other,Other,Other,nan,CH
501960390c84d34875000394,22,2,20266,1148,1,1,1,0,0,1429936603.0,1,0,1,1.0,0,0,162.0,1,0,0.0,0.0,M,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,Other,Other,Other,nan,DE
501a62870c84d32d75000d89,20,4,16683,647,1,0,0,0,1,1430043968.0,1,0,1,0.04,0,0,95.8,1,0,0.0,0.0,M,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,0,0,Other,Other,Other,nan,CH
5038fbd96f37f3d14400004c,25,7,3413,86,1,0,1,0,0,1429985473.0,1,0,1,0.92,0,0,57.8,1,0,0.0,0.0,M,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,0,1,0,Other,Other,Other,nan,CH
503bd4834ea6e89a5a000123,19,13,8310,143,1,0,0,0,0,1430035627.0,3,1,1,0.81,0,0,125.0,0,0,0.0,0.0,M,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,1,Other,Other,Other,nan,CH
503fc2b8a9d0b3b2480000a8,21,1,25903,982,1,1,1,0,0,1428505759.0,1,0,1,0.62,0,0,137.0,1,1,0.0,0.0,M,0.0,12.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,Other,Other,Basel,nan,CH
50421dc94ea6e83e24000000,21,27,33018,812,1,1,1,0,1,1429997740.0,1,0,1,0.85,0,0,103.0,1,0,0.0,0.0,M,36.0,5.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,Other,Other,Other,Other,CH
